Sex,SharingUnitID,Head,RelationshipToHH,IndivID,StatusWealth_BaYakaDance,BirthYear,Status_Farmer,Wealth_Farmer,Location,alive,Neighbourhood,GroupID,Status_mensCouncil,Status_womenCouncil,Status_Healer,AbilityToWork,MaritalStatus,YearsofEdu,OtherNoetic_Lingala,OtherNoetic_Dance,Age,age_median,Mother_school,Mother_Lingala,Mother_dance,Father_school,Father_Lingala,Father_dance,Food_security_smaller_meal,Food_security_fewer_meals,Food_security_no_food,Food_security_sleep_hungry,Food_security_whole_day
F,BYSU011,0,Daughter,3020,NA,1978,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Widowed,0.5,Full,0,40.64,40.77,0,Full,owns dance,attended,Full,owns dance,1,1,0,1,0
F,BYSU011,0,Daughter,3022,NA,2008,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Unmarried,0,None,0,10.2,10.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,BYSU011,1,Focal,3023,NA,1961,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Married,0,Full,1,48.33,48.49,NA,None,owns dance,attended,Full,owns dance,1,0,0,1,1
M,BYSU011,0,Son,3024,NA,2005,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Unmarried,1,Intermediate,0,13.26,13.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M,BYSU011,0,Grandson,3025,NA,1999,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Unmarried,1,Full,0,19.65,19.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M,BYSU011,1,Husband,3027,NA,1961,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Married,attended,Intermediate,2,43.52,43.66,0,Intermediate,owns dance,0,Full,owns dance,1,1,1,0,1
M,BYSU011,0,Grandson,3028,NA,2012,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Unmarried,1,Full,0,6.96,6.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,BYSU011,0,Granddaughter,3029,NA,2017,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Unmarried,0,NA,0,1.74,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,BYSU011,0,Daughter,3068,NA,1988,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Married,6,Full,2,30.35,30.47,0,Full,owns dance,attended,Full,owns dance,1,1,0,0,1
F,BYSU011,0,Granddaughter,3104,NA,2014,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Unmarried,0,NA,0,4.25,4.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M,BYSU011,0,Grandson,3026,NA,2008,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Unmarried,NA,None,0,10.71,10.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,BYSU015,1,Cousin,2006,NA,1990,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Married,4,Full,2,28.34,28.53,0,Full,owns dance,attended,Full,owns dance,3,0,0,0,0
F,BYSU015,1,Focal,2044,NA,1982,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Married,0,Intermediate,0,31.83,31.91,attended,Full,0,attended,Full,owns dance,3,1,0,0,0
M,BYSU015,0,Cousin,2501,NA,2014,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Unmarried,0,None,0,4.83,4.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M,BYSU015,0,Son,2531,NA,2010,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Unmarried,2,None,0,8.8,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M,BYSU015,0,Son,2532,NA,2011,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Unmarried,1,None,0,7.31,7.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M,BYSU015,0,Son,2577,NA,2001,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Unmarried,2,Full,8,17.59,17.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,BYSU015,0,Mother,3011,NA,1963,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Widowed,6,Full,1,44.11,44.25,0,Intermediate,owns dance,0,Full,0,3,0,0,0,0
F,BYSU015,0,Daughter,3012,NA,2017,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Unmarried,0,NA,0,1.83,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M,BYSU015,0,Cousin,2502,NA,2011,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Unmarried,0,None,0,7.43,7.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M,BYSU015,0,Son,2563,NA,2004,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Unmarried,NA,NA,NA,14.89,14.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M,BYSU017,0,Son-in-law,2022,NA,1981,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Married,2,Full,5,37.73,37.87,0,Intermediate,owns dance,attended,Full,owns dance,1,0,0,0,0
F,BYSU017,0,Granddaughter,2023,NA,1983,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Married,attended,Full,2,35.95,36.07,0,Full,owns dance,0,Full,owns dance,0,0,1,1,0
M,BYSU017,0,Great-grandson,2527,NA,2009,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Unmarried,0,Full,0,9.82,9.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M,BYSU017,0,Great-grandson,2575,NA,2014,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Unmarried,0,NA,0,4.67,4.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,BYSU017,0,Granddaughter,3030,NA,1994,NA,NA,Djoube,1,Ngele,BaYaka,0,0,0,Full,Divorced,0,Full,0,24.62,24.69,attended,Full,0,0,Intermediate,owns dance,0,3,0,1,0
