Sex,Ego,Mother,Father,action_required,actions_taken,documentation
M,1010,1102,1101,NA,NA,NA
M,1011,1102,1101,NA,NA,NA
M,2500,1102,1101,NA,NA,NA
M,1007,1104,1103,NA,NA,NA
F,1009,1104,1103,NA,NA,NA
M,1006,1104,1103,NA,NA,NA
F,1121,1104,1103,NA,NA,NA
F,1008,1104,1103,NA,NA,NA
F,1102,1104,1103,NA,NA,NA
M,2554,3085,1110,NA,NA,NA
F,3043,1109,1110,NA,NA,NA
F,3013,3014,1105,NA,NA,NA
F,3015,3014,1105,NA,NA,NA
M,1045,2010,1123,NA,NA,NA
F,2006,9103,1123,NA,NA,NA
M,2052,9103,1123,NA,NA,NA
M,2501,2006,1124,NA,NA,NA
F,1016,1116,1124,NA,NA,NA
M,2502,2006,1124,NA,NA,NA
M,2565,2035,2034,NA,NA,NA
M,2508,2035,2034,NA,NA,NA
M,2537,2035,2034,NA,NA,NA
M,3019,2035,2034,NA,NA,NA
F,2543,2035,2034,NA,NA,NA
F,2510,2035,2034,NA,NA,NA
M,3118,3115,2651,NA,NA,NA
M,2504,2001,2000,NA,NA,NA
M,2503,2001,2000,NA,NA,NA
M,2506,2001,2000,NA,NA,NA
M,2568,2005,2004,NA,NA,NA
M,2550,2005,2004,NA,NA,NA
M,2551,2005,2004,NA,NA,NA
F,2562,2005,2004,NA,NA,NA
F,1041,1112,2011,NA,NA,NA
F,1039,1112,2011,NA,NA,NA
F,1040,1112,2011,NA,NA,NA
F,3017,2019,2018,NA,NA,NA
F,2035,2019,2018,NA,NA,NA
F,2047,2019,2018,NA,NA,NA
M,2036,2019,2018,NA,NA,NA
F,3083,3123,2018,NA,NA,NA
M,2024,2019,2018,NA,NA,NA
M,3061,2021,2020,NA,NA,NA
F,2521,2021,2020,NA,NA,NA
F,2522,2021,2020,NA,NA,NA
M,2536,2021,2020,NA,NA,NA
M,2520,2021,2020,NA,NA,NA
M,2523,2021,2020,NA,NA,NA
M,2534,2021,2020,NA,NA,NA
M,2528,2023,2022,NA,NA,NA
F,3036,2023,2022,NA,NA,NA
M,2527,2023,2022,NA,NA,NA
M,2575,2023,2022,NA,NA,NA
