Ego,Question,Alter1,Alter2,Alter3,Alter4,Alter5,Alter6,Alter7,Alter8,Alter9,Alter10,Alter11,Alter12,Alter13,Alter14,Alter15,Alter16,Alter17,Alter18,Alter19,Alter20
3147,1,,,,,,,,,,,,,,,,,,,,
3147,2,,,,,,,,,,,,,,,,,,,,
3147,3,3040,2026,2025,2013,3084,1108,8248,8249,,,,,,,,,,,,
3147,4,3040,2026,2013,2025,2655,3001,3050,2041,2999,,,,,,,,,,,
3147,5,3147,3040,2026,2013,2025,3001,2003,,,,,,,,,,,,,
3147,6,3040,2026,3084,1108,2002,2012,2024,,,,,,,,,,,,,
3147,7,2013,2025,3042,3047,3033,2003,2046,3049,,,,,,,,,,,,
3147,8,2002,2003,3134,3084,1108,2026,3040,2020,2028,3010,2526,,,,,,,,,
3147,9,,,,,,,,,,,,,,,,,,,,
3147,10,,,,,,,,,,,,,,,,,,,,
3147,Relations,8248,8249,2028,,,,,,,,,,,,,,,,,
3147,Villages visited,,,,,,,,,,,,,,,,,,,,
3135,1,8049,8011,8036,8023,8087,8071,,,,,,,,,,,,,,
3135,2,,,,,,,,,,,,,,,,,,,,
3135,3,3076,3134,3063,3133,2018,1115,1104,3123,2007,2022,1120,1116,2033,3075,3041,3077,,,,
3135,4,3076,2003,1115,3063,1104,1116,,,,,,,,,,,,,,
3135,5,3076,3134,1104,3063,2003,2033,1120,3142,,,,,,,,,,,,
3135,6,3135,3123,3114,3142,2031,,,,,,,,,,,,,,,
3135,7,3076,3063,1120,1104,1115,1116,2003,3123,,,,,,,,,,,,
3135,8,3123,3142,2030,1103,1113,2022,,,,,,,,,,,,,,
3135,9,8049,,,,,,,,,,,,,,,,,,,
3135,10,,,,,,,,,,,,,,,,,,,,
3135,Relations,,,,,,,,,,,,,,,,,,,,
3135,Villages visited,,,,,,,,,,,,,,,,,,,,
3134,1,8015,8014,8025,,,,,,,,,,,,,,,,,
3134,2,,,,,,,,,,,,,,,,,,,,
3134,3,3041,3077,3117,3123,3075,,,,,,,,,,,,,,,
3134,4,3135,3076,,,,,,,,,,,,,,,,,,
3134,5,3076,3041,3077,3117,,,,,,,,,,,,,,,,
3134,6,3075,,,,,,,,,,,,,,,,,,,
3134,7,2003,3123,3114,,,,,,,,,,,,,,,,,
3134,8,1103,2038,3065,3004,2002,2018,,,,,,,,,,,,,,
3134,9,8014,,,,,,,,,,,,,,,,,,,
3134,10,8107,,,,,,,,,,,,,,,,,,,
3134,Relations,,,,,,,,,,,,,,,,,,,,
3134,Villages visited,Manfoute,,,,,,,,,,,,,,,,,,,
3133,1,8049,,,,,,,,,,,,,,,,,,,
3133,2,,,,,,,,,,,,,,,,,,,,
3133,3,2002,2018,3076,3135,3083,2008,3075,3134,3084,1115,1104,1120,1116,3063,1103,2014,8108,,,
