SharingUnitID,MaleHHmotherEdu,MaleHHmotherNoeticOther_Lingala,MaleHHmotherNoeticOther_Dance,MaleHHfatherEdu,MaleHHfatherNoeticOther_Lingala,MaleHHfatherNoeticOther_Dance,FemaleHHmotherEdu,FemaleHHmotherNoeticOther_Lingala,FemaleHHmotherNoeticOther_Dance,FemaleHHfatherEdu,FemaleHHfatherNoeticOther_Lingala,FemaleHHfatherNoeticOther_Dance,OtherHH,OtherHHrelationship,OtherHHmotherEdu,OtherHHmotherNoeticOther_Lingala,OtherHHmotherNoeticOther_Dance,OtherHHfatherEdu,OtherHHfatherNoeticOther_Lingala,OtherHHfatherNoeticOther_Dance,MaleHHSmallerMeal,MaleHHFewerMeals,MaleHHNoFood,MaleHHSleepHungry,MaleHHWithoutEating,FemaleHHSmallerMeal,FemaleHHFewerMeals,FemaleHHNoFood,FemaleHHSleepHungry,FemaleHHWithoutEating,OtherHHSmallerMeal,OtherHHFewerMeals,OtherHHNoFood,OtherHHSleepHungry,OtherHHWithoutEating,25L bidon,Basket,Basin,Cooking Pot,Bottles,Mosquito net,Cup,5L bidon,Bucket,Plate/Bowl,Hoe,Large Mat,Machete,Jombi,Radio,Flashlight,Large spoon,Pounder,Spear,Demo,backpack,Small Matt,Knife,Bench,20L bidon,Axe,Spoons/forks,File,Matress
BYSU011,0,Intermediate,owns dance,0,Full,owns dance,NA,None,owns dance,attended,Full,owns dance,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,0,0,1,1,NA,NA,NA,NA,NA,0,4,3,7,1,3,1,2,2,2,1,3,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0
BYSU015,NA,NA,NA,NA,NA,NA,6,Full,1,attended,Full,owns dance,2006,Cousin,0,Full,owns dance,3,Full,4,NA,NA,NA,NA,NA,3,1,0,0,0,3,0,0,0,0,0,3,1,4,1,4,2,0,0,4,0,3,2,0,0,0,1,1,1,0,1,3,1,0,1,0,1,0,0
BYSU017,NA,NA,NA,NA,NA,NA,0,Intermediate,owns dance,0,Intermediate,owns dance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,1,4,1,7,0,1,4,1,2,7,0,4,1,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0
BYSU019,NA,NA,NA,NA,NA,NA,0,None,0,0,None,owns dance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,2,1,4,1,1,3,1,3,8,0,3,2,1,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0
BYSU020,1,Full,2,1,Full,5,0,Full,0,attended,Full,owns dance,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,1,1,1,1,NA,NA,NA,NA,NA,0,0,1,4,1,2,3,4,2,10,0,2,2,1,1,2,0,1,1,0,0,2,4,0,0,0,0,1,1
BYSU021,0,Full,owns dance,0,Full,owns dance,0,Intermediate,owns dance,attended,Intermediate,owns dance,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,1,5,0,4,7,4,4,1,7,4,0,5,2,1,1,2,1,1,1,0,3,0,1,0,1,1,0,0,0
BYSU022,NA,NA,NA,NA,NA,NA,0,Intermediate,owns dance,0,Intermediate,owns dance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,0,2,0,6,3,3,4,3,0,5,0,3,1,0,1,1,0,1,0,0,2,2,0,0,1,1,0,0,0
BYSU023,NA,NA,NA,NA,NA,NA,attended,Full,owns dance,attended,Full,owns dance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,3,0,NA,NA,NA,NA,NA,2,1,1,4,0,3,1,1,0,4,0,2,3,1,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0
BYSU024,NA,NA,NA,NA,NA,NA,0,None,owns dance,0,None,owns dance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,1,2,0,2,0,3,1,1,0,3,0,4,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
BYSU025,NA,NA,NA,NA,NA,NA,3,Intermediate,0,attended,Full,owns dance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,NA,NA,NA,NA,NA,0,1,0,2,0,2,0,0,0,1,0,2,4,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
BYSU026,4,Full,2,attended,Full,owns dance,2,Full,0,3,Full,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,0,1,2,3,0,1,3,1,2,0,0,2,0,1,1,1,1,0,2,0,2,1,0,0,1,0,1,0,0
BYSU027,NA,NA,NA,NA,NA,NA,attended,Full,owns dance,attended,Full,owns dance,3059,Sibling,attended,Full,owns dance,attended,Full,owns dance,NA,NA,NA,NA,NA,3,0,0,1,0,NA,NA,NA,NA,NA,1,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
BYSU028,NA,NA,NA,NA,NA,NA,0,None,owns dance,attended,Full,owns dance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,NA,NA,NA,NA,NA,1,1,1,0,3,4,4,1,4,6,0,0,1,1,0,1,0,0,1,0,1,2,0,1,0,0,0,0,0
BYSU029,0,Full,0,0,Intermediate,0,0,Intermediate,0,0,Full,owns dance,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,1,0,0,3,3,3,0,0,1,4,0,2,1,2,2,1,0,1,1,0,0,2,1,0,0,0,2,0,0
BYSU030,NA,NA,NA,NA,NA,NA,attended,Full,owns dance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,NA,NA,NA,NA,NA,0,2,0,3,0,3,2,1,0,6,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
BYSU031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BYSU032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BYSU033,NA,NA,NA,NA,NA,NA,attended,Full,owns dance,attended,Full,owns dance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,1,2,2,3,0,1,0,0,0,4,0,2,3,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
BYSU034,2,Full,0,3,Full,0,2,Full,2,attended,Full,owns dance,NA,NA,NA,NA,NA,NA,NA,NA,3,0,2,3,0,0,1,1,1,0,NA,NA,NA,NA,NA,1,1,1,2,7,0,0,1,1,3,0,1,2,2,2,1,2,0,2,0,1,1,2,0,0,0,2,0,0
BYSU035,attended,Full,owns dance,attended,Full,owns dance,2,Full,2,4,Full,6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,2,0,2,0,0,0,3,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
