"SharingUnitID","size_su","CashValue"
"BYSU011",11,153.9
"BYSU015",10,121.77
"BYSU017",13,125.28
"BYSU019",6,108.54
"BYSU020",12,180.54
"BYSU021",8,211.14
"BYSU022",6,157.32
"BYSU023",14,103.32
"BYSU024",3,69.12
"BYSU025",1,78.3
"BYSU026",8,114.21
"BYSU027",3,29.7
"BYSU028",9,84.42
"BYSU029",5,115.74
"BYSU030",7,71.64
"BYSU033",10,87.3
"BYSU034",3,113.76
"BYSU035",5,58.5
"BYSU036",4,100.62
"BYSU039",5,106.56
"BYSU040",12,98.28
"BYSU041",6,87.48
"BYSU042",2,57.06
"BYSU043",5,87.84
"BYSU044",4,88.56
"BYSU045",11,203.22
"BYSU046",9,185.22
"BYSU047",4,181.98
"BYSU048",4,89.82
"BYSU052",5,128.88
"BYSU054",7,105.3
"BYSU055",13,103.86
"BYSU056",4,77.4
"BYSU057",6,175.5
"BYSU058",10,157.86
"BYSU059",4,93.24
"BYSU060",6,55.89
"BYSU061",3,107.82
"BYSU062",5,36.9
"BYSU065",5,112.95
"BYSU066",1,17.37
"BYSU067",6,86.58
